EntrezID	GeneSymbol	Zuber_Essential_new	GeneAliases	Chromosom
7353	UFD1L	essential_core	UFD1	22q11.21
7384	UQCRC1	essential_core	D3S3191|QCR1|UQCR1	3p21.31
7407	VARS	essential_core	G7A|VARS1|VARS2	6p21.33
7415	VCP	essential_core	ALS14|CMT2Y|HEL-220|HEL-S-70|IBMPFD|IBMPFD1|TERA|p97	9p13.3
7465	WEE1	essential_core	WEE1A|WEE1hu	11p15.4
7536	SF1	essential_core	BBP|D11S636|MBBP|ZCCHC25|ZFM1|ZNF162	11q13.1
7690	ZNF131	essential_core	ZBTB35|pHZ-10	5p12
7818	DAP3	essential_core	DAP-3|MRP-S29|MRPS29|bMRP-10	1q22
7979	SHFM1	essential_core	DSS1|ECD|SHFD1|SHFM1|SHSF1|Shfdg1	7q21.3
8078	USP5	essential_core	ISOT	12p13.31
8089	YEATS4	essential_core	4930573H17Rik|B230215M10Rik|GAS41|NUBI-1|YAF9	12q15
8175	SF3A2	essential_core	PRP11|PRPF11|SAP62|SF3a66	19p13.3
8178	ELL	essential_core	C19orf17|ELL1|MEN|PPP1R68	19p13.11
8189	SYMPK	essential_core	SPK|SYM	19q13.32
8208	CHAF1B	essential_core	CAF-1|CAF-IP60|CAF1|CAF1A|CAF1P60|MPHOSPH7|MPP7	21q22.12-q22.13
8243	SMC1A	essential_core	CDLS2|DXS423E|SB1.8|SMC1|SMC1L1|SMC1alpha|SMCB	Xp11.22
8260	NAA10	essential_core	ARD1|ARD1A|ARD1P|DXS707|MCOPS1|NATD|OGDNS|TE2	Xq28
8317	CDC7	essential_core	CDC7L1|HsCDC7|Hsk1|huCDC7	1p22.1
8318	CDC45	essential_core	CDC45L|CDC45L2|MGORS7|PORC-PI-1	22q11.21
8409	UXT	essential_core	ART-27|STAP1	Xp11.23
8480	RAE1	essential_core	MIG14|MRNP41|Mnrp41|dJ481F12.3|dJ800J21.1	20q13.31
8518	IKBKAP	essential_core	DYS|ELP1|FD|IKAP|IKI3|TOT1	9q31.3
8533	COPS3	essential_core	CSN3|SGN3	17p11.2
8563	THOC5	essential_core	C22orf19|Fmip|PK1.3|fSAP79	22q12.2
8565	YARS	essential_core	CMTDIC|TYRRS|YRS|YTS	1p35.1
8568	RRP1	essential_core	D21S2056E|NNP-1|NOP52|RRP1A	21q22.3
8602	NOP14	essential_core	C4orf9|NOL14|RES4-25|RES425|UTP2	4p16.3
8607	RUVBL1	essential_core	ECP-54|ECP54|INO80H|NMP 238|NMP238|PONTIN|Pontin52|RVB1|TIH1|TIP49|TIP49A	3q21.3
8661	EIF3A	essential_core	EIF3|EIF3S10|P167|TIF32|eIF3-p170|eIF3-theta|p180|p185	10q26.11
8664	EIF3D	essential_core	EIF3S7|eIF3-p66|eIF3-zeta	22q12.3
8668	EIF3I	essential_core	EIF3S2|PRO2242|TRIP-1|TRIP1|eIF3-beta|eIF3-p36	1p35.2
8697	CDC23	essential_core	ANAPC8|APC8|CUT23	5q31.2
8732	RNGTT	essential_core	CAP1A|HCE|HCE1|hCAP	6q15
8775	NAPA	essential_core	SNAPA	19q13.32-q13.33
8815	BANF1	essential_core	BAF|BCRP1|D14S1460|NGPS	11q13.1
8872	CDC123	essential_core	C10orf7|D123	10p14-p13
8881	CDC16	essential_core	ANAPC6|APC6|CDC16Hs|CUT9	13q34
